pos,offense,off_pct,defense,def_pct,special_teams,st_pct,player_id,player_name,team
QB,315,29.94%,0,0%,0,0%,SkelJo00,John Skelton,crd
QB,303,28.80%,0,0%,0,0%,LindRy00,Ryan Lindley,crd
QB,81,7.70%,0,0%,0,0%,HoyeBr00,Brian Hoyer,crd
QB,349,33.17%,0,0%,0,0%,KolbKe00,Kevin Kolb,crd
RB,284,27.00%,0,0%,49,10.17%,PoweWi00,William Powell,crd
RB,338,32.13%,0,0%,36,7.47%,StepLa00,LaRod Stephens-Howling,crd
RB,140,13.31%,0,0%,0,0%,WillRy00,Ryan Williams,crd
RB,17,1.62%,0,0%,105,21.78%,SmitAl22,Alfonso Smith,crd
RB,150,14.26%,0,0%,0,0%,WellCh00,Beanie Wells,crd
FB,234,22.24%,0,0%,156,32.37%,SherAn00,Anthony Sherman,crd
FB,45,4.28%,0,0%,0,0%,MauiRe00,Reagan Maui'a,crd
WR,1030,97.91%,0,0%,0,0%,FitzLa00,Larry Fitzgerald,crd
WR,838,79.66%,0,0%,5,1.04%,RobeAn00,Andre Roberts,crd
WR,387,36.79%,0,0%,109,22.61%,DoucEa00,Early Doucet,crd
WR,555,52.76%,0,0%,27,5.60%,FloyMi00,Michael Floyd,crd
WR,11,1.05%,0,0%,34,7.05%,ByrdLa00,LaRon Byrd,crd
TE,81,7.70%,0,0%,0,0%,HeapTo00,Todd Heap,crd
TE,466,44.30%,0,0%,73,15.15%,KingJe00,Jeff King,crd
TE,22,2.09%,0,0%,6,1.24%,SperKo00,Kory Sperry,crd
TE,34,3.23%,0,0%,183,37.97%,DrayJi00,Jim Dray,crd
TE,617,58.65%,0,0%,117,24.27%,HousRo01,Rob Housler,crd
T,1052,100.00%,0,0%,55,11.41%,MassBo00,Bobby Massie,crd
T,626,59.51%,0,0%,55,11.41%,BatiDA20,D'Anthony Batiste,crd
T,140,13.31%,0,0%,16,3.32%,McQuPa20,Pat McQuistan,crd
T,428,40.68%,0,0%,0,0%,PottNa00,Nate Potter,crd
G,866,82.32%,0,0%,48,9.96%,SnydAd20,Adam Snyder,crd
G,1052,100.00%,0,0%,55,11.41%,CollDa20,Daryn Colledge,crd
G,43,4.09%,0,0%,1,.21%,KeleSe00,Senio Kelemete,crd
G,286,27.19%,0,0%,42,8.71%,OhrnRi20,Rich Ohrnberger,crd
C,756,71.86%,0,0%,0,0%,SendLy20,Lyle Sendlein,crd
C,16,1.52%,0,0%,3,.62%,WediSc00,Scott Wedige,crd
DE,0,0%,753,69.72%,104,21.58%,CampCa99,Calais Campbell,crd
DE,0,0%,71,6.57%,3,.62%,TallRo00,Ronald Talley,crd
DE,0,0%,195,18.06%,11,2.28%,HollVo20,Vonnie Holliday,crd
DT,0,0%,793,73.43%,65,13.49%,DockDa20,Darnell Dockett,crd
DT,0,0%,218,20.19%,92,19.09%,EasoNi20,Nick Eason,crd
NT,0,0%,420,38.89%,5,1.04%,WillDa99,Dan Williams,crd
NT,0,0%,289,26.76%,115,23.86%,CartDa01,David Carter,crd
NT,0,0%,6,.56%,0,0%,LumpRi00,Ricky Lumpkin,crd
LB,0,0%,996,92.22%,281,58.30%,AchoSa00,Sam Acho,crd
LB,0,0%,1058,97.96%,109,22.61%,WashDa99,Daryl Washington,crd
LB,0,0%,490,45.37%,38,7.88%,SchoOB99,O'Brien Schofield,crd
LB,0,0%,1014,93.89%,77,15.98%,LenoPa20,Paris Lenon,crd
LB,0,0%,193,17.87%,288,59.75%,WalkRe00,Reggie Walker,crd
LB,0,0%,467,43.24%,240,49.79%,GrovQu99,Quentin Groves,crd
LB,0,0%,39,3.61%,334,69.29%,BradSt99,Stewart Bradley,crd
LB,0,0%,2,.19%,71,14.73%,WestJa99,Jamaal Westerman,crd
LB,0,0%,41,3.80%,117,24.27%,NashZa00,Zack Nash,crd
CB,8,.76%,1041,96.39%,164,34.02%,PetePa00,Patrick Peterson,crd
CB,0,0%,1005,93.06%,26,5.39%,GayxWi99,William Gay,crd
CB,0,0%,70,6.48%,248,51.45%,AdamMi98,Michael Adams,crd
CB,0,0%,270,25.00%,108,22.41%,FlemJa00,Jamell Fleming,crd
CB,0,0%,0,0%,12,2.49%,ButlCr99,Crezdon Butler,crd
CB,0,0%,302,27.96%,44,9.13%,ToleGr99,Greg Toler,crd
SS,1,.10%,845,78.24%,80,16.60%,WilsAd99,Adrian Wilson,crd
SS,0,0%,161,14.91%,319,66.18%,JohnRa98,Rashad Johnson,crd
FS,0,0%,1011,93.61%,68,14.11%,RhodKe20,Kerry Rhodes,crd
FS,0,0%,10,.93%,336,69.71%,BethJu00,Justin Bethel,crd
FS,0,0%,120,11.11%,310,64.32%,SandJa21,James Sanders,crd
LS,1,.10%,0,0%,169,35.06%,LeacMi00,Mike Leach,crd
K,0,0%,0,0%,118,24.48%,feelyjay01,Jay Feely,crd
P,0,0%,0,0%,170,35.27%,ZastDa20,Dave Zastudil,crd
QB,1050,99.06%,0,0%,0,0%,RyanMa00,Matt Ryan,atl
QB,10,.94%,0,0%,0,0%,McCoLu00,Luke McCown,atl
RB,465,43.87%,0,0%,98,22.32%,RodgJa00,Jacquizz Rodgers,atl
RB,476,44.91%,0,0%,0,0%,TurnMi00,Michael Turner,atl
RB,6,.57%,0,0%,192,43.74%,SmitAn01,Antone Smith,atl
RB,229,21.60%,0,0%,212,48.29%,SnelJa00,Jason Snelling,atl
FB,97,9.15%,0,0%,45,10.25%,PoliLo00,Lousaka Polite,atl
FB,137,12.92%,0,0%,35,7.97%,Cox_Mi20,Mike Cox,atl
WR,988,93.21%,0,0%,2,.46%,WhitRo00,Roddy White,atl
WR,836,78.87%,1,.10%,2,.46%,JoneJu02,Julio Jones,atl
WR,586,55.28%,0,0%,7,1.59%,DougHa00,Harry Douglas,atl
WR,18,1.70%,0,0%,176,40.09%,ConeKe00,Kevin Cone,atl
WR,130,12.26%,0,0%,247,56.26%,DaviDr00,Drew Davis,atl
TE,966,91.13%,0,0%,0,0%,GonzTo00,Tony Gonzalez,atl
TE,158,14.91%,0,0%,144,32.80%,PalmMi00,Michael Palmer,atl
TE,5,.47%,0,0%,8,1.82%,CoffCh00,Chase Coffman,atl
TE,85,8.02%,0,0%,130,29.61%,GallTo00,Tommy Gallarda,atl
T,1060,100.00%,0,0%,83,18.91%,BakeSa21,Sam Baker,atl
T,1050,99.06%,0,0%,83,18.91%,ClabTy20,Tyson Clabo,atl
T,7,.66%,0,0%,0,0%,HolmLa00,Lamar Holmes,atl
G,1060,100.00%,0,0%,83,18.91%,BlalJu20,Justin Blalock,atl
G,394,37.17%,0,0%,39,8.88%,ReynGa20,Garrett Reynolds,atl
G,675,63.68%,0,0%,107,24.37%,KonzPe00,Peter Konz,atl
G,106,10.00%,0,0%,145,33.03%,JohnMi23,Mike Johnson,atl
C,1046,98.68%,0,0%,0,0%,McClTo20,Todd McClure,atl
C,20,1.89%,0,0%,17,3.87%,HawlJo20,Joe Hawley,atl
DE,0,0%,682,66.73%,301,68.56%,BierKr99,Kroy Biermann,atl
DE,0,0%,732,71.62%,0,0%,AbraJo00,John Abraham,atl
DE,0,0%,207,20.25%,32,7.29%,EdwaRa21,Ray Edwards,atl
DE,0,0%,80,7.83%,105,23.92%,MattCl01,Cliff Matthews,atl
DE,0,0%,30,2.94%,51,11.62%,SidbLa99,Lawrence Sidbury,atl
DE,0,0%,27,2.64%,67,15.26%,MassJo00,Jonathan Massaquoi,atl
DT,0,0%,496,48.53%,48,10.93%,JerrPe99,Peria Jerry,atl
DT,0,0%,839,82.09%,55,12.53%,BabiJo20,Jonathan Babineaux,atl
DT,0,0%,532,52.05%,99,22.55%,WalkVa99,Vance Walker,atl
DT,0,0%,434,42.47%,24,5.47%,PeteCo00,Corey Peters,atl
