"pos","player_name","season_year","prev_team","current_team","current_team_name","offense","defense","special_teams","offense_2025"
"OL","Hjalte Froholdt",2025,"crd","crd","Arizona Cardinals",611,0,38,"611"
"C","Hjalte Froholdt",2024,"crd","crd","Arizona Cardinals",1078,0,76,"611"
"C","Hjalte Froholdt",2023,"crd","crd","Arizona Cardinals",1126,0,60,"611"
"G","Hjalte Froholdt",2022,"cle","crd","Arizona Cardinals",592,0,71,"611"
"G","Hjalte Froholdt",2021,"cle","crd","Arizona Cardinals",0,0,18,"611"
"G,OL","Hjalte Froholdt",2020,"nwe","crd","Arizona Cardinals",61,0,32,"611"
"OL","Jonah Williams",2025,"crd","crd","Arizona Cardinals",592,0,20,"592"
"T","Jonah Williams",2024,"crd","crd","Arizona Cardinals",343,0,1,"592"
"T","Jonah Williams",2023,"cin","crd","Arizona Cardinals",1088,0,72,"592"
"T","Jonah Williams",2022,"cin","crd","Arizona Cardinals",1101,0,74,"592"
"T","Jonah Williams",2021,"cin","crd","Arizona Cardinals",1045,0,81,"592"
"OT","Jonah Williams",2020,"cin","crd","Arizona Cardinals",633,0,40,"592"
"TE","Trey McBride",2025,"crd","crd","Arizona Cardinals",552,0,1,"552"
"TE","Trey McBride",2024,"crd","crd","Arizona Cardinals",934,0,15,"552"
"TE","Trey McBride",2023,"crd","crd","Arizona Cardinals",786,0,81,"552"
"TE","Trey McBride",2022,"crd","crd","Arizona Cardinals",599,0,167,"552"
"OL","Paris Johnson",2025,"crd","crd","Arizona Cardinals",548,0,33,"548"
"T","Paris Johnson",2024,"crd","crd","Arizona Cardinals",865,0,61,"548"
"T","Paris Johnson",2023,"crd","crd","Arizona Cardinals",1133,0,60,"548"
"OL","Evan Brown",2025,"crd","crd","Arizona Cardinals",546,0,30,"546"
"C","Evan Brown",2024,"crd","crd","Arizona Cardinals",1070,0,76,"546"
"C","Evan Brown",2023,"sea","crd","Arizona Cardinals",960,0,11,"546"
"C","Evan Brown",2022,"det","crd","Arizona Cardinals",768,0,57,"546"
"C","Evan Brown",2021,"det","crd","Arizona Cardinals",755,0,39,"546"
"C","Evan Brown",2020,"cle","crd","Arizona Cardinals",0,0,17,"546"
"C","Evan Brown",2020,"det","crd","Arizona Cardinals",44,0,5,"546"
"WR","Marvin Harrison Jr.",2025,"crd","crd","Arizona Cardinals",481,0,0,"481"
"WR","Marvin Harrison Jr.",2024,"crd","crd","Arizona Cardinals",865,0,0,"481"
"WR","Michael Wilson",2025,"crd","crd","Arizona Cardinals",478,0,1,"478"
"WR","Michael Wilson",2024,"crd","crd","Arizona Cardinals",822,0,2,"478"
"WR","Michael Wilson",2023,"crd","crd","Arizona Cardinals",709,0,2,"478"
"OL","Isaiah Adams",2025,"crd","crd","Arizona Cardinals",325,0,38,"325"
"G","Isaiah Adams",2024,"crd","crd","Arizona Cardinals",462,0,66,"325"
"QB","Kyler Murray",2025,"crd","crd","Arizona Cardinals",318,0,0,"318"
"QB","Kyler Murray",2024,"crd","crd","Arizona Cardinals",1065,0,0,"318"
"QB","Kyler Murray",2023,"crd","crd","Arizona Cardinals",538,0,0,"318"
"QB","Kyler Murray",2022,"crd","crd","Arizona Cardinals",719,0,0,"318"
"QB","Kyler Murray",2021,"crd","crd","Arizona Cardinals",940,0,0,"318"
"QB","Kyler Murray",2020,"crd","crd","Arizona Cardinals",1102,0,0,"318"
"OL","Will Hernandez",2025,"crd","crd","Arizona Cardinals",312,0,8,"312"
"G","Will Hernandez",2024,"crd","crd","Arizona Cardinals",280,0,10,"312"
"G","Will Hernandez",2023,"crd","crd","Arizona Cardinals",1112,0,51,"312"
"G","Will Hernandez",2022,"crd","crd","Arizona Cardinals",845,0,23,"312"
"G","Will Hernandez",2021,"nyg","crd","Arizona Cardinals",1048,0,49,"312"
"G","Will Hernandez",2020,"nyg","crd","Arizona Cardinals",524,0,28,"312"
"QB","Jacoby Brissett",2025,"crd","crd","Arizona Cardinals",293,0,0,"293"
"QB","Jacoby Brissett",2024,"nwe","crd","Arizona Cardinals",351,0,0,"293"
"QB","Jacoby Brissett",2023,"was","crd","Arizona Cardinals",46,0,0,"293"
"QB","Jacoby Brissett",2022,"cle","crd","Arizona Cardinals",787,0,0,"293"
"QB","Jacoby Brissett",2021,"mia","crd","Arizona Cardinals",376,0,0,"293"
"QB","Jacoby Brissett",2020,"clt","crd","Arizona Cardinals",47,0,0,"293"
"WR","Zay Jones",2025,"crd","crd","Arizona Cardinals",271,0,0,"271"
"WR","Zay Jones",2024,"crd","crd","Arizona Cardinals",257,0,0,"271"
"WR","Zay Jones",2023,"jax","crd","Arizona Cardinals",475,0,0,"271"
"WR","Zay Jones",2022,"jax","crd","Arizona Cardinals",930,0,1,"271"
"WR","Zay Jones",2021,"rai","crd","Arizona Cardinals",640,0,99,"271"
"WR","Zay Jones",2020,"rai","crd","Arizona Cardinals",289,0,0,"271"
"TE","Elijah Higgins",2025,"crd","crd","Arizona Cardinals",201,0,141,"201"
"TE","Elijah Higgins",2024,"crd","crd","Arizona Cardinals",411,0,176,"201"
"TE","Elijah Higgins",2023,"crd","crd","Arizona Cardinals",192,0,111,"201"
"WR","Greg Dortch",2025,"crd","crd","Arizona Cardinals",167,0,76,"167"
"WR","Greg Dortch",2024,"crd","crd","Arizona Cardinals",432,0,112,"167"
"WR","Greg Dortch",2023,"crd","crd","Arizona Cardinals",397,0,156,"167"
"WR","Greg Dortch",2022,"crd","crd","Arizona Cardinals",513,0,113,"167"
"WR","Greg Dortch",2021,"crd","crd","Arizona Cardinals",34,0,38,"167"
"OL","Kelvin Beachum",2025,"crd","crd","Arizona Cardinals",167,0,38,"167"
"T","Kelvin Beachum",2024,"crd","crd","Arizona Cardinals",742,0,47,"167"
"T","Kelvin Beachum",2023,"crd","crd","Arizona Cardinals",212,0,37,"167"
"T","Kelvin Beachum",2022,"crd","crd","Arizona Cardinals",1180,0,42,"167"
"T","Kelvin Beachum",2021,"crd","crd","Arizona Cardinals",949,0,46,"167"
"G,OL","Kelvin Beachum",2020,"crd","crd","Arizona Cardinals",1128,0,76,"167"
"RB","Zonovan Knight",2025,"crd","crd","Arizona Cardinals",155,0,32,"155"
"RB","Zonovan Knight",2023,"det","crd","Arizona Cardinals",9,0,18,"155"
"RB","Zonovan Knight",2022,"nyj","crd","Arizona Cardinals",198,0,16,"155"
"RB","Trey Benson",2025,"crd","crd","Arizona Cardinals",123,0,0,"123"
"RB","Trey Benson",2024,"crd","crd","Arizona Cardinals",137,0,0,"123"
"RB","Emari Demercado",2025,"crd","crd","Arizona Cardinals",115,0,59,"115"
"RB","Emari Demercado",2024,"crd","crd","Arizona Cardinals",164,0,52,"115"
"RB","Emari Demercado",2023,"crd","crd","Arizona Cardinals",292,0,63,"115"
"RB","Michael Carter",2025,"crd","crd","Arizona Cardinals",111,0,1,"111"
"RB","Michael Carter",2024,"crd","crd","Arizona Cardinals",132,0,0,"111"
"RB","Michael Carter",2023,"nyj","crd","Arizona Cardinals",142,0,11,"111"
"RB","Michael Carter",2023,"crd","crd","Arizona Cardinals",82,0,1,"111"
"RB","Michael Carter",2022,"nyj","crd","Arizona Cardinals",496,0,2,"111"
"RB","Michael Carter",2021,"nyj","crd","Arizona Cardinals",449,0,8,"111"
"TE","Tip Reiman",2025,"crd","crd","Arizona Cardinals",98,0,50,"98"
"TE","Tip Reiman",2024,"crd","crd","Arizona Cardinals",450,0,189,"98"
"RB","James Conner",2025,"crd","crd","Arizona Cardinals",93,0,0,"93"
"RB","James Conner",2024,"crd","crd","Arizona Cardinals",619,0,0,"93"
"RB","James Conner",2023,"crd","crd","Arizona Cardinals",533,0,0,"93"
"RB","James Conner",2022,"crd","crd","Arizona Cardinals",663,0,0,"93"
"RB","James Conner",2021,"crd","crd","Arizona Cardinals",598,0,6,"93"
"RB","James Conner",2020,"pit","crd","Arizona Cardinals",561,0,0,"93"
"T","Jake Curhan",2025,"car","crd","Arizona Cardinals",62,0,22,"62"
"OL","Jake Curhan",2025,"crd","crd","Arizona Cardinals",0,0,4,"62"
"T","Jake Curhan",2024,"chi","crd","Arizona Cardinals",261,0,17,"62"
"T","Jake Curhan",2023,"sea","crd","Arizona Cardinals",299,0,50,"62"
"T","Jake Curhan",2022,"sea","crd","Arizona Cardinals",34,0,18,"62"
"T","Jake Curhan",2021,"sea","crd","Arizona Cardinals",405,0,66,"62"
"OL","Jon Gaines",2025,"crd","crd","Arizona Cardinals",56,0,38,"56"
"G","Jon Gaines",2024,"crd","crd","Arizona Cardinals",22,0,58,"56"
"WR","Simi Fehoko",2025,"crd","crd","Arizona Cardinals",37,0,116,"37"
"WR","Simi Fehoko",2024,"sdg","crd","Arizona Cardinals",244,0,81,"37"
"WR","Simi Fehoko",2023,"sdg","crd","Arizona Cardinals",24,0,36,"37"
"WR","Simi Fehoko",2022,"dal","crd","Arizona Cardinals",36,0,43,"37"
"WR","Simi Fehoko",2021,"dal","crd","Arizona Cardinals",7,0,48,"37"
"TE","Travis Vokolek",2025,"crd","crd","Arizona Cardinals",32,0,45,"32"
"TE","Travis Vokolek",2024,"crd","crd","Arizona Cardinals",12,0,2,"32"
"TE","Travis Vokolek",2023,"crd","crd","Arizona Cardinals",40,0,4,"32"
"TE","Josiah Deguara",2025,"crd","crd","Arizona Cardinals",24,0,45,"24"
"TE","Josiah Deguara",2024,"jax","crd","Arizona Cardinals",87,0,243,"24"
"TE","Josiah Deguara",2023,"gnb","crd","Arizona Cardinals",196,0,219,"24"
"TE","Josiah Deguara",2022,"gnb","crd","Arizona Cardinals",258,0,200,"24"
"TE","Josiah Deguara",2021,"gnb","crd","Arizona Cardinals",367,0,132,"24"
"TE","Josiah Deguara",2020,"gnb","crd","Arizona Cardinals",31,0,8,"24"
"WR","Xavier Weaver",2025,"crd","crd","Arizona Cardinals",22,0,9,"22"
"WR","Xavier Weaver",2024,"crd","crd","Arizona Cardinals",57,0,0,"22"
"RB","D'Ernest Johnson",2025,"nwe","crd","Arizona Cardinals",6,0,9,"20"
"RB","D'Ernest Johnson",2025,"crd","crd","Arizona Cardinals",14,0,0,"20"
"RB","D'Ernest Johnson",2024,"jax","crd","Arizona Cardinals",192,0,55,"20"
"RB","D'Ernest Johnson",2023,"jax","crd","Arizona Cardinals",194,0,143,"20"
"RB","D'Ernest Johnson",2022,"cle","crd","Arizona Cardinals",35,0,200,"20"
"RB","D'Ernest Johnson",2021,"cle","crd","Arizona Cardinals",331,0,146,"20"
"RB","D'Ernest Johnson",2020,"cle","crd","Arizona Cardinals",81,0,149,"20"
"OL","Josh Fryar",2025,"crd","crd","Arizona Cardinals",9,0,18,"9"
"QB","Kedon Slovis",2025,"crd","crd","Arizona Cardinals",3,0,0,"3"
"LS","Aaron Brewer",2025,"crd","crd","Arizona Cardinals",0,0,71,"0"
"LS","Aaron Brewer",2024,"crd","crd","Arizona Cardinals",0,0,134,"0"
"LS","Aaron Brewer",2023,"crd","crd","Arizona Cardinals",0,0,127,"0"
"LS","Aaron Brewer",2022,"crd","crd","Arizona Cardinals",0,0,116,"0"
"LS","Aaron Brewer",2021,"crd","crd","Arizona Cardinals",0,0,116,"0"
"LS","Aaron Brewer",2020,"crd","crd","Arizona Cardinals",2,0,139,"0"
"LB","Akeem Davis-Gaither",2025,"crd","crd","Arizona Cardinals",0,419,108,"0"
"LB","Akeem Davis-Gaither",2024,"cin","crd","Arizona Cardinals",0,534,311,"0"
"LB","Akeem Davis-Gaither",2023,"cin","crd","Arizona Cardinals",0,99,289,"0"
"LB","Akeem Davis-Gaither",2022,"cin","crd","Arizona Cardinals",0,227,294,"0"
"LB","Akeem Davis-Gaither",2021,"cin","crd","Arizona Cardinals",0,207,151,"0"
"LB","Akeem Davis-Gaither",2020,"cin","crd","Arizona Cardinals",0,314,294,"0"
"DL","Anthony Goodlow",2025,"crd","crd","Arizona Cardinals",0,36,0,"0"
"LB","Baron Browning",2025,"crd","crd","Arizona Cardinals",0,322,16,"0"
"LB","Baron Browning",2024,"crd","crd","Arizona Cardinals",0,233,5,"0"
"LB","Baron Browning",2024,"den","crd","Arizona Cardinals",0,146,1,"0"
"LB","Baron Browning",2023,"den","crd","Arizona Cardinals",0,446,0,"0"
"LB","Baron Browning",2022,"den","crd","Arizona Cardinals",0,571,30,"0"
"LB","Baron Browning",2021,"den","crd","Arizona Cardinals",0,528,45,"0"
"DL","Bilal Nichols",2025,"crd","crd","Arizona Cardinals",0,37,0,"0"
"DT","Bilal Nichols",2024,"crd","crd","Arizona Cardinals",0,174,19,"0"
"DT","Bilal Nichols",2023,"rai","crd","Arizona Cardinals",0,615,73,"0"
"DE,DT","Bilal Nichols",2022,"rai","crd","Arizona Cardinals",0,804,80,"0"
"DE","Bilal Nichols",2021,"chi","crd","Arizona Cardinals",0,678,75,"0"
"DT","Bilal Nichols",2020,"chi","crd","Arizona Cardinals",0,618,76,"0"
"P","Blake Gillikin",2025,"crd","crd","Arizona Cardinals",0,0,44,"0"
"P","Blake Gillikin",2024,"crd","crd","Arizona Cardinals",0,0,94,"0"
"P","Blake Gillikin",2023,"crd","crd","Arizona Cardinals",1,0,96,"0"
"P","Blake Gillikin",2022,"nor","crd","Arizona Cardinals",0,0,141,"0"
"P","Blake Gillikin",2021,"nor","crd","Arizona Cardinals",0,0,157,"0"
"S","Budda Baker",2025,"crd","crd","Arizona Cardinals",0,596,47,"0"
"SS","Budda Baker",2024,"crd","crd","Arizona Cardinals",0,1067,43,"0"
"SS","Budda Baker",2023,"crd","crd","Arizona Cardinals",0,764,16,"0"
"SS","Budda Baker",2022,"crd","crd","Arizona Cardinals",0,968,58,"0"
"SS","Budda Baker",2021,"crd","crd","Arizona Cardinals",0,1037,34,"0"
"DB,S","Budda Baker",2020,"crd","crd","Arizona Cardinals",0,1005,21,"0"
"DL","Calais Campbell",2025,"crd","crd","Arizona Cardinals",0,297,60,"0"
"DE","Calais Campbell",2024,"mia","crd","Arizona Cardinals",0,615,170,"0"
"DE","Calais Campbell",2023,"atl","crd","Arizona Cardinals",0,712,140,"0"
